# Acquired from textfac.es and discord:the_caesar_salad

♪~ ᕕ(ᐛ)ᕗ,happy dance
(*´▽`*),joyblush happyblush flusteredjoy warmed tickled
¯\_(ʘ_ʘ)_/¯,shrugstare combinedshrug shrugeye noideamat whatisthis
༼ つ ◕_◕ ༽つ,fancyeh begplease giveme beg plead
ಠ_ಠ,noapprove stare disapprove judging unbelievable
ಠ ∩ ಠ,noapprove fingerbridge plotting scheming sidestare
ლ(ಠ▃ಠლ),why whateven reasons explain
(￣︿￣),grumpy sulk pout grouchy sour
(；⌣̀_⌣́),sigh exhale icanttho exhausted overit
(¬‿¬),suspicious sketch sidesmile smirky hmm
(ಠ‿ಠ),smug selfsat toldyou gotcha smugface
(ಠ‿↼),smug asymsmug sidewin cocky cheeky
(¬▂¬),annoyed irritated canteven ughhh nope
(╬ Ò﹏Ó),angry mad furious seething rageface
(-_-),meh tired done whatever flatline
(￣д￣),annoyed ugh sigh eyeroll groaning
(￣ヘ￣;),confused unsure awkward uhh idk
(¬_¬;),awkward uncomfortable sweat yikes oof
(；￣Д￣),shock wtf surprise whatthe nooo
(=_=),tired sleepy done drained flatout
(-‸ლ),facepalm smh headhit whydothis unreal
(눈_눈),narroweyes really cmon serious notfunny
(ꐦ°᷄д°᷅),rage tantrum flipout losingit goingoff
щ(ಠ益ಠщ),anguish why reachout clawing desperate
(ó﹏ò｡),frustrated upset bummedout downcast low
ヽ(`Д´)ﾉ,tantrum stomp throwingfit noooo nomore
(눈‸눈),dubious notbuying raisedeyebrow yeahright surehoney
( ｀ー´),coldface notimpressed icy dismissive dunno
(눈‿눈),sussmile shiftsmile fakeinno notinnocent butterface
ヾ(｀ε´)ﾉ,yellingatyou scolding nagging offended pointrage
(｀皿´＃),steaming boiling maxirritated pissedoff seething
o(>< )o,frustrated struggling resist pushback flustered
:'),happycry tearsofjoy crylaugh emotional overwhelmed
ಥ_ಥ,fancycry cry tearup weeping sobbing
(╥﹏╥),extracry crybasic realcry bawling waaaah
(╥︣﹏᷅╥᷅),extracry deepcry uglycry breakdown fullsob
(つ╥﹏╥)つ,handupcry hugcry sobhug neeeed cryhug
(｡•́︿•̀｡),sadface pout pouty glum downtrodden
(っ- ‸ - ς),depressed blue hollow empty numbed
(╥_╥),cryascii teareye droopy miserable gutted
(T_T),cryT tearT dripping streaked soaked
(╥ω╥),crysoft softcry whimper sniffle moist
(ಥ﹏ಥ),cryhard hardcry shaking trembling mess
(இ﹏இ`｡),sob drenched drown fallingapart crushed
(╯︵╰),down deflated slouch drooped sunken
(╥‿╥),softcry gentlecry tearsoft bittersmile almostok
(T⌓T),cryface tears hurt woe aching
(ノ_<。),ouch pain cryouch wounded stings
(〒﹏〒),broken shattered hurt wrecked ruined
(x_x),dead knockedout gone flatlined finished
(×_×),dead ouch ko struck defeated
(；_；),cryface weep mourn lament grief
(ú_ù),lowcry muffled quiettears barely holdingon
( ˃̣̣̥⌓˂̣̣̥ ),widecry fulltears devastating heartbreak bigeyes
(/ω＼),hidingface coverup embarrassed shameful lookaway
(´•̥̥̥ω•̥̥̥`),tinyworry worried nervousface smallsad fragile
(╯°□°）╯︵ ┻━┻,table flip rage canttakeit snapped
(ノಠ益ಠ)ノ彡┻━┻,table flip rage ultraflip nuclear goneberserk
(╯-_-)╯ ~╩╩,cflip calmflip controlledrage done quietrage
┻━┻ ︵ヽ(`Д´)ﾉ︵ ┻━┻,doubleflip twoflip bothtables xrage maxflip
┬─┬ノ( º _ ºノ),uflip calm putback restore fixed
┬─┬ノ(ಠ益ಠノ),auflip angryfix grudgerestore seethefix forcedcalm
┬─┬ ノ( ゜-゜ノ),fixing tablefix chillrestore peacemode deescalate
┻━┻ ︵╰(°□°╰),reverseflip tableback retaliate youflip backflip
(ノಠ_ಠ)ノ,toss launch throw chuck fling
(╯°Д°)╯,angerflip pureflip maxrage spikedit overit
┬──┬ ノ( ゜-゜ノ),table unflip reset fix restore calm settingright cleanup
╯(°□° ╯),halfflip partialrage oneside onetable halfway
⌐╦╦═─,gun assault rifle
▄︻̷̿┻̿═━一,gun sniper rifle aim shoot fire bang
(҂`_´) <,︻╦̵̵̿╤─ ҉ - -- -- --,gun rifle shoot
︻デ═━一,rifle shoot aim blam pew
︻╦̵̵͇̿̿̿̿╤──,sniper precision aim silent oneshot
†,cross dagger holy slash impale
⚔,swords crossed duel clash combat
≋≋≋▶,laserbeam beam charge firebeam rayblast
(o_O),whatjusthappened blink doubletake pardon excuseme
Σ(°△°|||)︴,bigshock lightningbolt ohno sudden recoil
Σ(ﾟДﾟ),fullshock bigstartled sudden caughtoffguard nowarning
(￣o￣) . z Z,dozingoff boring puttosleep snooze yawn
(*￣▽￣)b,thumbsup approve nicework solidjob welldone
('_'),whatdoyouwant hereiam present showingup blankpresence
(눈__눈),watching hawkeye seeingall surveillance trackingyou
(ó_ò),hmph notpleased broodingface crossface stern
Σ(-᷅_-᷄๑),realization ohwait justrealized itsclicking dawning
(°_°),flatstare blankstare noblink unblinking glassyeyed
w(°ｏ°)w,jawdrop openmouthed cantbelieve noway wideopen
∑(O_O;),panicshock ohgosh shockmath sumshock calcudread
(」゜ロ゜)」,reachout helpme grabbing ohno flailing
\(^▽^)/,bigyay armsup celebrate victory winning
٩(^‿^)۶,pompom cheer rootin booyah letsgo
(☆▽☆),stareyes starwow amazing blownaway awed
ヽ(°〇°)ﾉ,bigshout shoutwave loudface howl woo
(∩˃ᗜ˂)⊃━☆ﾟ.*,wishcast hopespell fortunecast wishstar goodluck
(ﾉ^ヮ^)ﾉ,wavejoy thrownup flairup victorywave freedomarms
＼(≧▽≦)／,megajoy bigarms fullbodycheer maxhappy exuberant
ヾ(^∇^),wavegrin waveopen cheerwave smileywave brightwave
(*^o^*),overjoyed astounded bowledover highfive yesyes
q(≧▽≦q),fistpump gotit yesss pumpfist nailed
(｀_´)ゞ,salute yessir nosir awkwardsalute roger
┐(￣ヘ￣)┌,fullshrug armshrug bigshrug dontask notmything
╮(╯▽╰)╭,palmup openarms whatcanisay itslikethat lifeshrug
(._. ),quietface unsurelow mumbly softspoken vague
ヽ(´ー｀)ノ,easywaveup whatevshrug looseshrug relaxshrug chillwave
~(˘▾˘~),swayshrug swaydontcare floatshrug drifting loosewave
(·_·),dotblank minimalface quietwait stoic plainface
(´ ε ` )♡,kissy smooch pucker lipface mwah
♡(˃͈ દ ˂͈ ༶ ),overwhelmedlove melt imdying toocute canthandle
(ɔ ˘⌣˘)˘⌣˘ c),hugsyou mutualaffect softhug reciprochug bothhug
(*˘︶˘*).｡.:*♡,dreamy floaty lovehaze rosyhappy blissful
(灬♥ω♥灬),lovecraze heartcrazy obsessed hearteyes infatuated
٩(♡ε♡)۶,biglovelove heartcheer loveyell hugeyay spreadlove
(◍•ᴗ•◍)♡,heartface lovestruck adore fond youlove
(˘³˘)♡,blowkiss airsmooch loveblow kissmissed sendlove
(♡°▽°♡),heartglow sweetface lovingit heartgaze warmheart
( ˘ ³˘)♥,sweetkiss gentlelove tenderkiss delicatelove softkiss
(◕ᴥ◕),koala koalaface snugglebear roundears eucalyptus
=(^･^)=,cat simpcat plaincat catvibes meow
(^ↀᴥↀ^),angrycat madcat hissface feralcat notpet
ฅ(=ↀωↀ=)ฅ,clawcat pawhands catclaw reachcat gotcha
(>^ω^<),happycat catjoy kittyhappy purring contentcat
V●ᴥ●V,dog dogpaws raisedpaws hiidog dogattn
(=①ω①=),cat bigeyecat starecat owlcat watchcat
(*ฅ•ω•ฅ*),fuzzycat pawcat scratchcat softpaw kittyreach
( ͒ ु•·̫• ू ͒),hamster chubcheeks fluffball roundface pouch
(✿╹◡╹),bunny floppyears cottontail softbunny hoppity
ʕ •`ᴥ•´ʔ,alertbear sternbear readybear grumpybear bearmad
ʕ≧ᴥ≦ʔ,happybear beargrin joyfulbear bearsmile cubhappy
(˵ ͡° ͜ʖ ͡°˵),chonkyface widegrin fatsmile roundgrin chubgrin
( ͜。 ͡ʖ ͜。),deepsmug ultralenny satisfied allaccordingtoplan scheming
(¬ ͜ʖ¬),leerysmug sidewayslenny gotthem sideplot slyplan
( ‾ʖ̫‾),flatsmug tiredsmug drainedsmug exhaustedsmug mehsmug
(ಥ‿ಥ),smugcry fakecry theatriccry dramatears crocotears
( ˘ ͜ʖ˘),softplot quietplan gentlescheme mellowsmug subtlesmug
ಠ◡ಠ,darksmile evengrin suspgrin evilhappy shadysmile
(눈ᴗ눈),narrowsmile halflidsmug lowsmug contentsmug drymug
(〃＾▽＾〃),blush flustered bashful rosycheeks embarrassed
(*/▽＼*),hidingblush coveredblush shycover facecover redface
(//▽//),fullblush allred deeplyflustered tomatoface cringeblush
(*꒦ິ꒳꒦ີ),strainface stressedout tightface squeezed pressured
(ノ_ノ),facedown headdown lookingdown avoidingeyes submitted
(´-ω-`),deflated softsigh quietdown mellow settlingdown
(•ˋ _ ˊ•),sidesmirk offcentre shiftface uneven crooked
(-ω-、),droopface headtilt down sadsigh quietgrief settledsad
(∩╹□╹∩),excited villain maniacal handsup crazyface lostit
ψ(｀∇´)ψ,evilwand demonicwave darklord possessed eviljoy
(҂◡_◡) ᕤ,crackknuckles readyforfight comeatme preparedrage knuckle
ᕦ(ò_óˇ)ᕤ,flex muscle showingoff strongarm bicep
(¬、¬),scowl crossedarms sidelook distrustful eyeroll
( ͡ᵔ ͜ʖ ͡ᵔ ),smugdouble biggrin widesmug allgrins toothy
Ψ(•̀ᴗ•́)و,chaoticdetermined crazymotivated unhingedready manicdrive screammode
( ._.) ︻デ═━一,sadsnipe deadshotdepressed silentshot mopeyaim grimrifle
~(>_<~),flailarms wiggle squirm wriggle thrash
(ΘεΘ;),greedface moneyeyes circleyes zeroeyes wantit
(*´∀`*),gleeful delight pleasantly surprised lightjoy contented
m(_ _)m,deepbow prostrate grovel fullbow onmyknees
(づ◡﹏◡)づ,worryhug anxioushug needhug desperatehug pleadingarms
(◞‸◟；),strainedface worrybrow creasedface tenseface angsty
ヾ(•ω•`)o,trotoff runningaway escapingface bolting speedrun
(*≧▽≦),halfbiggrin onesidejoy lopsidedgrin tiltedhappy asymjoy
(ﾉ*'▽'*)ﾉ,handsuphappy joyflail bouncyhappy arms out tossingjoy
〜(￣▽￣〜),floatinghappy driftgrin wavysmile swayinggrin chillgrin
(*ﾟДﾟ*),widepanic fullalert openedeyes maxstartle hugestartled
(ﾉ´∀｀*)ﾉ,reachglee outstretchedjoy openarmshappy gleestretch yeaharms
